ticker,factset_ticker,bloomberg_id,isin,company,region,gics_sector,gics_industry,market_cap_usd_m,exposure_latest,materiality_latest,pricing_power_latest,exposure_w1,exposure_w2,exposure_w3,exposure_w4,exposure_w5,materiality_w1,materiality_w2,materiality_w3,materiality_w4,materiality_w5,pricing_power_w1,pricing_power_w2,pricing_power_w3,pricing_power_w4,pricing_power_w5,exposure_delta_1_2,exposure_delta_2_3,exposure_delta_3_4,exposure_delta_4_5,materiality_delta_1_2,materiality_delta_2_3,materiality_delta_3_4,materiality_delta_4_5,pricing_delta_2_3,pricing_delta_3_4,pricing_delta_4_5,materiality_score,pricing_power_score,materiality_trend,alpha_flag
AXON.O,AXON-US,AXON US,US05464C1018,Axon Enterprise Inc,North America,Industrials,Capital Goods,40201.273,Adopter,Core to Thesis,High,Adopter,Adopter,Adopter,Adopter,Adopter,Moderate,Moderate,Core to Thesis,Core to Thesis,Core to Thesis,,High ,High,High,High,Same,Same,Same,Same,Same,Up,Same,Same,Same,Same,Same,4.0,3,1.0,1
DUOL.O,DUOL-US,DUOL US,US26603R1068,Duolingo Inc,North America,Consumer Discretionary,Consumer Services,6430.8223,Adopter,Core to Thesis,High,,,,Adopter,Adopter,,,,Core to Thesis,Core to Thesis,,,,High,High,,,,Same,,,,Same,,,Same,4.0,3,0.0,1
3888.HK,3888-HK,3888 HK,KYG5264Y1089,Kingsoft Corp Ltd,Asia/Pacific,Communication Services,Media & Entertainment,5587.2056,Adopter,Core to Thesis,Low,Adopter,Adopter,Adopter,Adopter,Adopter,Core to Thesis,Core to Thesis,Core to Thesis,Core to Thesis,Core to Thesis,,Neutral,Low,Neutral,Low,Same,Same,Same,Same,Same,Same,Same,Same,Down,Up,Down,4.0,1,0.0,0
IRTC.O,IRTC-US,IRTC US,US4500561067,IRHYTHM-TECHNOLOGIES-INC,North America,Health Care,Health Care Equipment & Services,4798.2236,Adopter,Core to Thesis,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Core to Thesis,Core to Thesis,Core to Thesis,Core to Thesis,Core to Thesis,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,4.0,2,0.0,0
1357.HK,1357-HK,1357 HK,KYG5966D1051,Meitu Inc,Asia/Pacific,Communication Services,Media & Entertainment,4754.071,Adopter,Core to Thesis,High,,,Adopter,Adopter,Adopter,,,Significant,Core to Thesis,Core to Thesis,,,High,High,High,,,Same,Same,,,Up,Same,,Same,Same,4.0,3,1.0,1
ZM.O,ZM-US,ZM US,US98980L1017,Zoom Communications,North America,Information Technology,Software & Services,27498.48,Enabler/Adopter,Moderate,Neutral,Adopter,Enabler,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Moderate,Moderate,Moderate,Moderate,Moderate,,Neutral,Neutral,Low,Neutral,Up,Up,Same,Same,Same,Same,Same,Same,Same,Down,Up,2.0,2,0.0,0
DOCU.O,DOCU-US,DOCU US,US2561631068,DocuSign Inc,North America,Information Technology,Software & Services,10771.973,Enabler/Adopter,Significant,Neutral,Adopter,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Enabler/Adopter,Significant,Significant,Significant,Significant,Significant,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,3.0,2,0.0,0
ALLFG.AS,ALLFG-NL,ALLFG NA,GB00BNTJ3546,Allfunds Group Plc,Europe,Financials,Financial Services,5834.2334,Adopter,Moderate,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Moderate,Moderate,Moderate,Moderate,Moderate,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,2.0,2,0.0,0
BBCA.JK,BBCA-ID,BBCA IJ,ID1000109507,Bank Central Asia,Asia/Pacific,Financials,Banks,52885.117,Adopter,Don't Know,Neutral,Protected,Adopter,Adopter,Adopter,Adopter,Insignificant,Don't Know,Don't Know,Don't Know,Don't Know,,Neutral,Neutral,Neutral,Neutral,Up,Same,Same,Same,Up,Same,Same,Same,Same,Same,Same,,2,-1.0,0
BASFn.DE,BAS-DE,BAS GY,DE000BASF111,BASF,Europe,Materials,Materials,49008.266,Adopter,Don't Know,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,,2,0.0,0
GIVN.S,GIVN-CH,GIVN SE,CH0010645932,Givaudan SA,Europe,Materials,Materials,35160.004,Adopter,Don't Know,Neutral,Adopter,Adopter,Adopter,Adopter,Adopter,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Neutral,Neutral,Neutral,Neutral,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,,2,0.0,0
