company,ticker,region,industry,segment,sub_bucket,included,upside_to_pt,downside_to_bear,upside_to_bull,bull_bear_skew,prob_3m_base,prob_3m_bull,prob_12m_base,prob_12m_bull
AES Corp.,AES.N,North America,Diversified Utilities / IPPs,Power Supply,Grid + Onsite Renewable Storage,True,0.474201474201474,-0.447174447174447,1.02702702702703,2.2967032967033045,0.0012,0.0,0.0137,0.0
Algonquin Power & Utilities Corp,AQN.N,North America,Regulated Utilities,,,False,-1.0,,,,,,,
Ameren Corp,AEE.N,North America,Regulated Utilities,,,False,-0.0267639902676399,-0.324141659908083,0.0813733441470668,0.2510425354462055,0.44310000000000005,0.051,0.5007,0.2066
American Electric Power Co,AEP.O,North America,Diversified Utilities / IPPs,,,False,-0.0380175465599507,-0.191934739110359,0.0774203478528552,0.40336808340015984,0.32,0.0398,0.4325,0.1916
Array Technologies Inc,ARRY.O,North America,Clean Tech,,,False,-0.193548387096774,-0.731182795698925,0.433691756272401,0.59313725490196,,,,
Atmos Energy Corp.,ATO.N,North America,Regulated Utilities,,,False,0.00418410041841,-0.280334728033473,0.0655509065550905,0.23383084577114355,0.4481,0.1805,0.5039,0.3679
Bloom Energy Corp.,BE.N,North America,Clean Tech,Power Supply,Fuel Cells,True,0.31673107199084,-0.477601259481895,0.88922284242164,1.8618519628408743,0.0762,0.0,0.056100000000000004,0.0
CenterPoint Energy Inc,CNP.N,North America,Regulated Utilities,,,False,-0.129821260583255,-0.31796801505174,0.0348071495766697,0.10946745562130158,0.7823,0.09300000000000001,0.6657,0.26899999999999996
CMS Energy Corp,CMS.N,North America,Regulated Utilities,,,False,-0.0226739640344018,-0.218139171227521,0.172791243158718,0.7921146953405047,0.5231,0.0171,0.5468999999999999,0.12359999999999999
Consolidated Edison Inc,ED.N,North America,Regulated Utilities,,,False,-0.155821315511783,-0.454801266268027,-0.0239183960604995,-0.05259087393658162,,,,
Constellation Energy Corporation,CEG.O,North America,Diversified Utilities / IPPs,Power Supply,Behind Fence,True,-1.0,,,,,,,
Dominion Energy Inc,D.N,North America,Regulated Utilities,,,False,-0.0527740189445197,-0.353480679597053,0.0825439783491204,0.2335176520629519,0.2569,0.0096,0.3884,0.0774
DTE Energy Co.,DTE.N,North America,Regulated Utilities,,,False,-0.0133848489029943,-0.227266455084863,0.0694080309093419,0.30540376442015793,0.21539999999999998,0.0254,0.35259999999999997,0.1365
Duke Energy Corp,DUK.N,North America,Regulated Utilities,,,False,0.014040561622465,-0.266770670826833,0.138845553822153,0.5204678362573105,0.183,0.0161,0.3614,0.1286
Edison International,EIX.N,North America,Regulated Utilities,,,False,-0.146375594738315,-0.776098516652673,0.441365799048419,0.5686981608366393,0.7165,0.0005,0.5664,0.009899999999999999
Enphase Energy Inc,ENPH.O,North America,Clean Tech,,,False,-0.310186249712578,-0.655093124856289,0.379627500574845,0.5795015795015797,0.7748999999999999,0.0761,0.47409999999999997,0.1014
Entergy Corp,ETR.N,North America,Regulated Utilities,,,False,-0.133910726182545,-0.343294946226325,0.0564385647663463,0.1644025505960635,0.8245,0.1084,0.6859000000000001,0.2948
Eversource Energy,ES.N,North America,Regulated Utilities,,,False,,,,,,,,
EVgo Inc,EVGO.O,North America,Clean Tech,,,False,0.541095890410959,-0.657534246575342,1.73972602739726,2.645833333333335,,,,
Exelon Corp,EXC.O,North America,Regulated Utilities,,,False,0.051980198019802,-0.216171617161716,0.196369636963696,0.9083969465648845,0.096,0.0129,0.2851,0.1091
First Solar Inc,FSLR.O,North America,Clean Tech,,,False,0.218701528916464,-0.251052514956791,0.706182140483049,2.812886142983236,0.4523,0.0323,0.37479999999999997,0.0989
FirstEnergy Corp,FE.N,North America,Regulated Utilities,,,False,-0.00199600798403199,-0.241516966067864,0.177644710578842,0.7355371900826442,0.262,0.0169,0.3696,0.1012
Fluence Energy Inc,FLNC.O,North America,Clean Tech,,,False,-0.133261105092091,-0.729144095341278,0.895991332611051,1.2288261515601793,0.6843,0.07150000000000001,0.4225,0.0591
GE Vernova,GEV.N,North America,Clean Tech,Power Supply,Grid Infrastructure,True,0.0185381421964022,-0.485120865695087,0.504743620111453,1.0404492072058174,0.20489999999999997,0.0265,0.2597,0.09970000000000001
IDACORP Inc,IDA.N,North America,Regulated Utilities,,,False,0.00512962706224873,-0.188964369887703,0.164563981699709,0.870873074101247,,,,
"MGE Energy, Inc.",MGEE.O,North America,Diversified Utilities / IPPs,,,False,-0.119208494208494,-0.263996138996139,0.11003861003861,0.4168190127970748,,,,
NextEra Energy Inc,NEE.N,North America,Diversified Utilities / IPPs,Power Supply,Grid + Onsite Renewable Storage,True,0.108742004264392,-0.285714285714286,0.332622601279318,1.1641791044776117,0.0741,0.0039000000000000003,0.2311,0.0527
NRG Energy Inc,NRG.N,North America,Diversified Utilities / IPPs,,,False,-0.112271540469974,-0.466202494923121,0.346098056280824,0.7423771001866843,0.6751,0.039900000000000005,0.5246999999999999,0.13
ONE Gas Inc,OGS.N,North America,Regulated Utilities,,,False,-0.151557415155742,-0.256159925615993,0.0808926080892607,0.31578947368420957,,,,
PG&E Corp,PCG.N,North America,Regulated Utilities,,,False,0.156387665198238,-0.504405286343612,0.596916299559471,1.1834061135371179,0.0555,0.0007000000000000001,0.2184,0.0101
Pinnacle West Capital Corp,PNW.N,North America,Regulated Utilities,,,False,-0.104537679847067,-0.346010665056847,0.0564443102927861,0.16312881651642938,0.7517,0.0675,0.6351,0.15289999999999998
Plug Power Inc.,PLUG.O,North America,Clean Tech,,,False,-0.206349206349206,-0.735449735449735,2.17460317460317,2.956834532374096,,0.0,,0.0
PPL Corp,PPL.N,North America,Regulated Utilities,,,False,0.0576414595452142,-0.25965097831835,0.189846641988366,0.7311608961303467,0.14029999999999998,0.0126,0.3286,0.0882
Public Service Enterprise Group Inc,PEG.N,North America,Diversified Utilities / IPPs,Power Supply,Behind Fence,True,0.0651846706032186,-0.22426768553896,0.563042723167767,2.5105833763551937,0.0891,0.0009,0.24719999999999998,0.0088
Sempra,SRE.N,North America,Regulated Utilities,,,False,0.0234226630090737,-0.240346064570584,0.371597383414222,1.5460930640913098,0.3712,0.0036,0.44530000000000003,0.0426
Shoals Technologies Group,SHLS.O,North America,Clean Tech,,,False,-0.072265625,-0.609375,0.7578125,1.2435897435897436,,,,
Solaredge Technologies Inc,SEDG.O,North America,Clean Tech,,,False,-0.0712074303405573,-0.662257247396566,0.829439909935266,1.252443688907778,0.3283,0.0,0.20629999999999998,0.0
Southern Company,SO.N,North America,Regulated Utilities,,,False,-0.104791995787257,-0.389152185360716,0.0215903106898367,0.0554803788903923,0.8361,0.2852,0.6989,0.4108
Spire Inc,SR.N,North America,Regulated Utilities,,,False,0.0126306620209058,-0.22691637630662,0.143292682926829,0.6314779270633392,,,,
Sunrun Inc,RUN.O,North America,Clean Tech,,,False,0.100052383446831,-0.685699319015191,0.885804085908853,1.2918258212375866,0.2644,0.0,0.19219999999999998,0.0
Talen Energy Corp,TLN.O,North America,Diversified Utilities / IPPs,Power Supply,Behind Fence,True,0.255641093708521,-0.354924342978498,0.794531457393151,2.2385938668661147,,,,
Vistra Corp,VST.N,North America,Diversified Utilities / IPPs,Power Supply,Behind Fence,True,0.323692343576885,-0.160300892180302,1.0234416000933,6.384503455802113,0.08439999999999999,0.0,0.1588,0.0
Xcel Energy Inc,XEL.O,North America,Regulated Utilities,,,False,0.0295379335702903,-0.227846549822282,0.360460840789312,1.5820333512641196,0.3018,0.0014000000000000002,0.4228,0.0635
Asana Inc,ASAN.N,North America,Software,,,False,0.851851851851852,-0.0740740740740741,2.17460317460317,29.357142857142787,,,,
Box Inc,BOX.N,North America,Software,,,False,0.638637343682622,0.0780508840017249,1.32858990944373,-17.022099447513863,,,,
CCC Intelligent Solutions Holdings Inc,CCCS.O,North America,Software,,,False,,,,,,,,
Commerce.com Inc.,CMRC.O,North America,Software,,,False,0.444043321299639,-0.63898916967509,1.16606498194946,1.82485875706215,,,,
"Coursera, Inc.",COUR.N,North America,Software,,,False,,,,,,,,
DigitalOcean Holdings Inc,DOCN.N,North America,Software,Owners/Operators,Enterprises/Tier 2 Clouds,True,-0.178403755868545,-0.633215962441315,0.437793427230047,0.6913809082483777,0.4296,0.0038,0.33240000000000003,0.014199999999999999
Docebo Inc.,DCBO.O,North America,Software,,,False,0.477572559366755,-0.155672823218997,1.32189973614776,8.49152542372885,,,,
DocuSign Inc,DOCU.O,North America,Software,,,False,1.00803212851406,0.115573404730031,1.90049085229808,-16.444015444015466,0.0416,0.0,0.1534,0.0
Lightspeed POS Inc.,LSPD.N,North America,Software,,,False,0.50166852057842,-0.332591768631813,1.66963292547275,5.020066889632116,,,,
monday.com Ltd,MNDY.O,North America,Software,,,False,0.588836695219674,-0.171041724233214,1.48687482730036,8.693053311793198,,,,
Sabre Corp,SABR.O,North America,Software,,,False,1.36717517096265,-0.473961073119411,4.26038926880589,8.9889012208657,,,,
