date,trailing_pe,source
1995-01-01,14.89,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-02-01,15.11,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-03-01,15.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-04-01,15.31,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-05-01,15.5,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-06-01,15.67,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-07-01,16.07,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-08-01,16.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-09-01,16.45,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-10-01,16.76,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-11-01,17.33,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1995-12-01,18.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-01-01,18.08,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-02-01,19.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-03-01,19.01,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-04-01,18.85,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-05-01,19.1,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-06-01,19.15,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-07-01,18.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-08-01,18.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-09-01,18.75,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-10-01,19.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-11-01,19.45,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1996-12-01,19.19,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-01-01,19.53,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-02-01,20.09,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-03-01,19.69,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-04-01,18.94,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-05-01,20.6,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-06-01,21.61,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-07-01,22.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-08-01,22.83,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-09-01,23.06,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-10-01,23.58,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-11-01,23.46,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1997-12-01,24.23,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-01-01,24.29,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-02-01,25.85,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-03-01,27.23,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-04-01,28.26,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-05-01,28.3,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-06-01,28.44,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-07-01,29.9,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-08-01,28.0,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-09-01,26.8,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
1998-10-01,27.2,Robert Shiller / Yale ie_data.xls — S&P 500 trailing P/E
